date,window_start,window_end,observations,n_assets,n_components,pc1_explained_variance_ratio,pc2_explained_variance_ratio,pc3_explained_variance_ratio,pc4_explained_variance_ratio,pc5_explained_variance_ratio,pc1_pc5_cumulative_explained_variance_ratio,reconstruction_rmse,reconstruction_mae
2016-03-11,2011-03-25,2016-03-11,260,29,5,0.46333877078274327,0.11431239174275254,0.08603458020482985,0.04309216521881193,0.036325001329944324,0.743102909279082,0.5154286624537,0.40665751313250986
2016-03-18,2011-04-01,2016-03-18,260,29,5,0.4612859331112574,0.11546894026089563,0.08621210231787232,0.04336802005734603,0.036397652756666066,0.7427326485040375,0.5455012593762119,0.39945836093912673
2016-03-25,2011-04-08,2016-03-25,260,29,5,0.46120114694680825,0.11555313722056658,0.08656271039104237,0.04330208150442025,0.0362668988996906,0.7428859749625281,0.3135861363437899,0.27110376441532
2016-04-01,2011-04-15,2016-04-01,260,29,5,0.46070839155682697,0.11655025560206334,0.08568306340604516,0.04286584995407694,0.03682882451821665,0.7426363850372291,0.49264045903394776,0.35756948512448655
2016-04-08,2011-04-22,2016-04-08,260,29,5,0.46088634382094196,0.11573520993657495,0.08620302635495494,0.04301072630284892,0.03715970118169858,0.7429950075970193,0.39781727039820586,0.30496587429822947
2016-04-15,2011-04-29,2016-04-15,260,29,5,0.4613622715321097,0.11549407462954424,0.0862312723370122,0.0431873086771449,0.03720343582695582,0.7434783630027669,0.5164204428307578,0.38691909104047395
2016-04-22,2011-05-06,2016-04-22,260,29,5,0.45999630878034015,0.11425222003996284,0.08740884726651181,0.04414653417603838,0.03747403786739392,0.7432779481302471,0.613232686683873,0.46550446702369025
2016-04-29,2011-05-13,2016-04-29,260,29,5,0.458565098771318,0.11583622007412285,0.08511614329030853,0.04452356143642289,0.03911001235504039,0.7431510359272127,0.5221499663024894,0.41487183153121304
2016-05-06,2011-05-20,2016-05-06,260,29,5,0.45888973221198426,0.11571716632122608,0.08550419402439664,0.04433272357452529,0.03920809091025597,0.7436519070423884,0.4113418967009478,0.3090690679594697
2016-05-13,2011-05-27,2016-05-13,260,29,5,0.45807349482356347,0.11559845363154879,0.08524000122374027,0.044188474173750124,0.03966876482535046,0.7427691886779532,0.7074872473369989,0.4619496106879738
2016-05-20,2011-06-03,2016-05-20,260,29,5,0.45819307818133503,0.11605654118124943,0.08463054661309662,0.04396533498538953,0.03957114741187488,0.7424166483729455,0.786915335818219,0.5063779404528338
2016-05-27,2011-06-10,2016-05-27,260,29,5,0.4586956526002984,0.1160913185937693,0.08452767732949881,0.044131677850965154,0.03959488989904505,0.7430412162735767,0.28105377123522185,0.22226367835725963
2016-06-03,2011-06-17,2016-06-03,260,29,5,0.4573123478531348,0.11727060465413508,0.08445461713779419,0.04419016243236533,0.03955034707095693,0.7427780791483863,0.3665786879390269,0.31551722216870454
